N°,Processus / Étape,Caractéristique à contrôler,Spécification / Tolérance,Technique de mesure,Taille échantillon,Fréquence,Type de contrôle,Responsable,Plan de réaction,Enregistrement,Criticité
1,1. Réception Matière,Épaisseur tôle,2 mm ± 0.1 mm,Pied à coulisse digital Mitutoyo ±0.01mm,5 pièces,Par bobine,Réception,Contrôleur Qualité,Refus bobine + retour fournisseur +NC-FOUR-001,FR-Q-001 Contrôle Réception,◆
2,1. Réception Matière,Certificat matière 3.1,Conforme EN 10204,Vérification documentaire,100%,Par bobine,Réception,Contrôleur Qualité,Refus bobine si certificat absent/non conforme,FR-Q-001 Contrôle Réception,▲
3,1. Réception Matière,Aspect surface (rayures),0 rayure > 5mm,Contrôle visuel éclairage 500 lux,5 pièces,Par bobine,Réception,Contrôleur Qualité,Si > 2 rayures/pièce → refus bobine,FR-Q-001 Contrôle Réception,●
4,2. Découpe Laser,Diamètre perçages (x3),Ø 6.5 mm +0.2/0,Pied à coulisse digital ±0.01mm,1 pièce,Toutes les heures (8/jour),En-cours,Opérateur (autocontrôle),Arrêt production + réglage laser + contrôle 100% lot en-cours + alerte chef équipe,Carte contrôle Ø perçages,◆
5,2. Découpe Laser,Longueur totale,120 mm ± 0.5 mm,Pied à coulisse digital ±0.01mm,1 pièce,Toutes les 2 heures,En-cours,Opérateur,Si hors tolérance: réglage + contrôle 5 pièces suivantes,Carte contrôle Longueur,▲
6,2. Découpe Laser,Largeur,40 mm ± 0.3 mm,Pied à coulisse digital ±0.01mm,1 pièce,Toutes les 2 heures,En-cours,Opérateur,Si hors tolérance: réglage + contrôle 5 pièces suivantes,Carte contrôle Largeur,●
7,2. Découpe Laser,Bavures découpe,< 0.2 mm,Calibre passe/ne passe pas,1 pièce,Toutes les heures,En-cours,Opérateur,Ébavurage manuel si < 0.5mm / Rebut si > 0.5mm,Fiche contrôle découpe,●
8,3. Pliage,Angle de pliage zone A,90° ± 2°,Équerre + calibre angulaire digital,1 pièce,Tous les 30 pièces,En-cours,Opérateur,Arrêt + réglage presse + contrôle 100% lot + NC si dérive,Carte contrôle Angle A,◆
9,3. Pliage,Angle de pliage zone B,90° ± 2°,Équerre + calibre angulaire digital,1 pièce,Tous les 30 pièces,En-cours,Opérateur,Arrêt + réglage presse + contrôle 100% lot + NC si dérive,Carte contrôle Angle B,◆
10,3. Pliage,Cote hauteur après pliage,25 mm ± 0.5 mm,Pied à coulisse,1 pièce,Toutes les heures,En-cours,Opérateur,Réglage si hors tolérance,Fiche contrôle pliage,▲
11,4. Taraudage,Profondeur taraudage,Min 8 mm,Jauge de profondeur,1 pièce,Tous les 50 pièces,En-cours,Opérateur,Si < 8mm: retouche possible si > 7mm sinon rebut,Fiche taraudage,◆
12,4. Taraudage,Fonctionnalité filetage M6,ISO M6-6H,Calibre taraudage GO/NO-GO,1 pièce,Tous les 50 pièces,En-cours,Opérateur,Si NO-GO refuse: arrêt + maintenance taraudeuse + contrôle 100% lot,Fiche taraudage,◆
13,4. Taraudage,Couple de serrage,≥ 8 N.m,Clé dynamométrique étalonnée,1 pièce,Tous les 100 pièces,En-cours,Contrôleur,Si < 8 N.m: analyse cause + contrôle renforcé 1/10,Fiche couple serrage,◆
14,5. Cataphorèse,Épaisseur peinture,15-25 μm,Testeur épaisseur magnétique Elcometer,1 pièce,Par bain/heure,En-cours,Opérateur cataphorèse,Si hors: ajustement paramètres bain + contrôle lot,Fiche traitement surface,▲
15,5. Cataphorèse,Aspect peinture (bulles),0 bulle,Contrôle visuel éclairage 2000 lux,100%,Continu,En-cours,Opérateur cataphorèse,Rebut immédiat si bulle,Fiche aspect,▲
16,5. Cataphorèse,Couverture peinture,100% surface,Contrôle visuel éclairage 2000 lux,100%,Continu,En-cours,Opérateur cataphorèse,Si zone non peinte > 5mm²: rebut,Fiche aspect,◆
17,6. Contrôle Final,Entraxe perçages,60 mm ± 0.15 mm,Pied à coulisse digital ±0.01mm,1 pièce,Tous les 50 pièces,Final,Contrôleur Qualité,Rebut si hors tolérance + analyse si dérive,FR-Q-005 Contrôle Final,◆
18,6. Contrôle Final,Vérification dimensions critiques (recap),Selon plan,Pied à coulisse + calibres,1 pièce,Tous les 50 pièces,Final,Contrôleur Qualité,Mise en quarantaine lot si NC + analyse,FR-Q-005 Contrôle Final,◆
19,6. Contrôle Final,Essai fonctionnel (vissage),Vissage complet sans forçage,Essai manuel avec vis M6 x 20,1 pièce,Tous les 100 pièces,Final,Contrôleur Qualité,Si échec: analyse + contrôle 100% lot + isolement,FR-Q-005 Contrôle Final,◆
20,6. Contrôle Final,Aspect général,0 défaut visible à 50cm,Contrôle visuel éclairage 2000 lux,100%,Continu,Final,Contrôleur Qualité,Retouche si défaut mineur / Rebut si défaut majeur,FR-Q-005 Contrôle Final,▲
21,7. Conditionnement,Marquage étiquette,N° lot + Date + Qté + Ref,Contrôle visuel,1 carton,Par lot (quotidien),Final,Opérateur conditionnement,Réétiquetagesi erreur détectée,Registre expéditions,▲
22,7. Conditionnement,Quantité par carton,50 pièces,Comptage,1 carton,Par lot,Final,Opérateur conditionnement,Recomptage + correction si écart,Registre expéditions,●
23,7. Conditionnement,Protection intercalaires,Présence mousse,Contrôle visuel,1 carton,1 fois par jour,Final,Opérateur conditionnement,Ajout intercalaires si manquants,Fiche conditionnement,●
