N°,Processus / Étape,Caractéristique à contrôler,Spécification / Tolérance,Technique de mesure,Taille échantillon,Fréquence,Type de contrôle,Responsable,Plan de réaction,Enregistrement,Criticité
1,1. Réception Matière,,,,,,,,,,,
2,2. Découpe Laser,,,,,,,,,,,
3,2. Découpe Laser,,,,,,,,,,,
4,2. Découpe Laser,,,,,,,,,,,
5,3. Pliage,,,,,,,,,,,
6,3. Pliage,,,,,,,,,,,
7,4. Taraudage,,,,,,,,,,,
8,4. Taraudage,,,,,,,,,,,
9,5. Cataphorèse,,,,,,,,,,,
10,5. Cataphorèse,,,,,,,,,,,
11,6. Contrôle Final,,,,,,,,,,,
12,6. Contrôle Final,,,,,,,,,,,
13,6. Contrôle Final,,,,,,,,,,,
14,7. Conditionnement,,,,,,,,,,,
15,7. Conditionnement,,,,,,,,,,,
