"";"diametre";"echantillon"
"1";20,062;1
"2";20,044;1
"3";20,027;1
"4";20,044;1
"5";20,017;1
"6";19,936;2
"7";20,064;2
"8";20,069;2
"9";20,017;2
"10";19,969;2
"11";19,991;3
"12";20,01;3
"13";19,953;3
"14";20,067;3
"15";19,998;3
"16";20,054;4
"17";19,985;4
"18";19,976;4
"19";19,966;4
"20";20;4
"21";20,033;5
"22";19,98;5
"23";20,025;5
"24";20,017;5
"25";19,956;5
"26";20,084;6
"27";20,149;6
"28";20,112;6
"29";20,082;6
"30";20,074;6
"31";19,989;7
"32";19,997;7
"33";20,095;7
"34";19,988;7
"35";20,056;7
"36";19,986;8
"37";20,094;8
"38";20,151;8
"39";20,038;8
"40";20,086;8
"41";20,052;9
"42";20,087;9
"43";20,082;9
"44";20,082;9
"45";20,141;9
"46";20,097;10
"47";20,005;10
"48";20,143;10
"49";20,067;10
"50";20,139;10
