diameter;length;concentricity
10.03;15.001;0.021
10.026;14.997;0
10.034;15.003;0.021
10.028;14.999;0.022
10.027;15.002;0.008
10;15.001;0.002
10.001;14.998;0.013
10.003;14.999;0.012
10.002;14.998;0.002
10.002;15;0.009
9.997;15.001;0.01
9.993;14.998;0.012
9.992;15;0.002
10.001;14.999;0.004
9.998;15;0.012
10.001;14.997;0.021
9.994;15;0.018
9.998;15.001;0.013
10.002;15.002;0.003
9.995;14.998;0.006
9.997;15.001;0.015
10.001;15.002;0.022
10;14.998;0.011
10.007;14.999;0.016
10.001;14.999;0.007
10.003;15.003;0.014
10;15;0.009
9.993;14.999;0.005
9.998;15;0.015
10;15.001;0.003
10;15;0.012
9.99;15.004;0.016
10;15.002;0.007
10.004;15;0.008
10;15.004;0.011
10.001;14.999;0.004
9.997;15.001;0.009
9.996;15.001;0.007
10.004;15;0.018
10.001;15;0.008
9.994;15;0.006
9.998;15.001;0.008
10.005;15;0.016
10.002;15;0.009
9.998;14.995;0.016
10;15.001;0.004
9.995;15.001;0.018
10.004;15.001;0.001
10.001;15.003;0.01
10.001;15.004;0.017
10.001;14.999;0.018
9.997;15.005;0.01
9.999;15.001;0.006
10.001;15.001;0.012
10.003;15.002;0.006
9.996;15.006;0.018
10;15.004;0.004
10;15.002;0.009
9.992;14.999;0.016
9.994;15.001;0.012
9.999;14.999;0.008
9.996;15.002;0.012
10.003;15.002;0.014
10.007;15.002;0.016
10.006;15.003;0.003
9.995;15.002;0.008
9.999;14.998;0.004
10;15;0.015
9.997;15.001;0.008
10.001;15;0.007
9.995;14.998;0.014
10;14.998;0.007
9.993;15.003;0.004
9.995;14.999;0
9.999;15.004;0.016
9.999;15.001;0.013
10.002;15.005;0.016
10.004;15.001;0.008
10.002;15.002;0.007
10.003;15;0.006
10;14.997;0.002
9.998;15.005;0.019
10.002;14.998;0.014
9.997;15.007;0.022
10.002;15.001;0.009
9.995;15.002;0.006
9.997;15.003;0.011
9.999;15.007;0.015
9.997;15.001;0.001
10;14.999;0.004
10;15.004;0.011
9.999;15.002;0.015
9.998;15;0.009
10.001;15.004;0.014
10;15.003;0.007
10;14.999;0.008
10.006;15.001;0.012
9.999;15.001;0.01
10.002;15.001;0.009
9.998;15.001;0.006
10;15;0.001
9.996;15.003;0.006
9.994;15.003;0.007
9.994;15.002;0.01
9.995;15.003;0.016
9.997;15.005;0.004
9.998;15.001;0.009
9.999;15.005;0.004
9.998;14.999;0.011
9.998;15.006;0.006
9.999;15.006;0.003
9.995;15.002;0.016
10;14.998;0.008
10;15.008;0.002
10.003;15.004;0.023
9.999;15.003;0.017
10.003;15.006;0.017
10.003;15;0.003
9.994;15.001;0.009
9.995;15;0.01
10;15;0.015
9.999;15.005;0.017
10;14.999;0.002
9.998;15.004;0.005
9.997;15.005;0.005
10.002;15.002;0.009
9.997;15.003;0.014
9.993;15.006;0.005
9.999;15;0.007
9.997;15.007;0.009
9.994;15.003;0.01
9.992;15.002;0.007
9.992;15.002;0.011
10;15.004;0.016
9.996;15.004;0.009
9.996;15.001;0.016
10.004;15.002;0.013
9.999;15.003;0.007
10.001;15.005;0.002
10.001;15.001;0.004
10.001;15.002;0.015
9.995;15.002;0.006
10.002;15.004;0.012
9.998;15.005;0.014
9.998;15.002;0.013
9.998;15.004;0.007
9.998;15.005;0.012
10;15.003;0.019
9.995;15.006;0.009
9.996;15.004;0.007
9.997;15.001;0.007
10.003;15.007;0.008
9.992;15.005;0.016
9.997;15.005;0.007
10.001;15.003;0.003
9.995;15.003;0.009
9.994;15.007;0.013
9.998;15.005;0.011
9.995;15.001;0.011
9.999;15.003;0.016
9.997;15.005;0.009
9.999;15.004;0.012
10.001;15.005;0.017
9.997;15.005;0.005
9.998;15.003;0.011
9.997;15.004;0.014
10.008;15.005;0.004
9.998;15.005;0.001
9.995;15.007;0.011
9.996;15.007;0.009
10.003;15.004;0.006
9.997;15.004;0.008
10;15.005;0.009
10.003;15.003;0.006
9.997;15.003;0.009
9.999;15.006;0.004
9.996;15.001;0.015
10.001;15.004;0.01
9.997;15.004;0.004
9.993;15.007;0.007
9.994;15.001;0.007
10;15.006;0
9.994;15.002;0.016
9.999;15.006;0.005
10;15.006;0.016
9.998;15.004;0.021
9.999;15.003;0.008
9.992;15.004;0.008
9.999;15.004;0.003
10;15.006;0.009
9.996;15.006;0.016
9.991;15.004;0.011
9.998;15.005;0.002
10.002;15.006;0.012
9.995;15.003;0.003
9.996;15.001;0.01
10.003;15.006;0.015
9.991;15.005;0
9.998;15.008;0.012
9.993;15.005;0.012
10;15.002;0.018
10.001;15.005;0.013
10.003;15.004;0.014
9.991;15.005;0.009
10;15.003;0.003
9.999;15.002;0.015
10;15.005;0.013
10.007;15.006;0.024
9.996;15.002;0.017
10.001;15.003;0.019
9.992;15.006;0.006
10.001;15.01;0.012
9.993;15.006;0.02
9.996;15.007;0.006
9.994;15.005;0.001
10.002;15.004;0.007
9.998;15.005;0.019
9.997;15.004;0.001
10.002;15.006;0.008
9.995;15.002;0.016
10.001;15.006;0.014
9.995;15.008;0.007
9.996;15.005;0.004
10.001;15.004;0.001
9.998;15.006;0.012
9.999;15.007;0.011
9.997;15.004;0
9.999;15.005;0.02
10.007;15.003;0.001
10.003;15.004;0.007
9.997;15.008;0.006
10.001;15.008;0.009
9.996;15.007;0.01
9.994;15.005;0.004
9.999;15.005;0.012
9.997;15.004;0.004
9.997;15.007;0.012
10.001;15.005;0.011
10.003;15.006;0.003
9.997;15.003;0.01
9.997;15.008;0.014
9.993;15.004;0.023
9.994;15.01;0.016
9.996;15.007;0.015
10;15.005;0.006
10.006;15.008;0.01
9.995;15.004;0.016
9.996;15.005;0.012
10.003;15.007;0.012
10.002;15.005;0.018
10;15.007;0.022
9.999;15.01;0.014
9.997;15.007;0.008
10;15.007;0.004
9.996;15.006;0.005
9.999;15.009;0.017
9.997;15.003;0.007
9.998;15.006;0.003
9.994;15.004;0.017
9.994;15.005;0.012
10.002;15.003;0.002
9.995;15.008;0.005
9.999;15.007;0.008
9.996;15.004;0.001
10.001;15.01;0.011
10.001;15.01;0.006
9.995;15.002;0.012
10.001;15.006;0.013
10.003;15.006;0.001
10.003;15.006;0.001
10.003;15.005;0
10.006;15.006;0.009
10.002;15.005;0.009
10.004;15.006;0.007
9.997;15.011;0.014
9.995;15.008;0.008
10.001;15.008;0.005
9.996;15.007;0.008
10;15.007;0.01
10;15.006;0.01
10;15.008;0.019
9.998;15.006;0.012
10.006;15.005;0.01
10.003;15.009;0.011
9.999;15.009;0.016
10.001;15.009;0.02
9.998;15.005;0.013
10;15.005;0.018
10.003;15.01;0.007
9.997;15.009;0.006
9.998;15.006;0.015
9.998;15.007;0.004
9.997;15.008;0.01
9.997;15.004;0.004
10.001;15.007;0.011
10.002;15.006;0.004
9.998;15.007;0.014
10.001;15.008;0.007
9.996;15.009;0.013
9.998;15.007;0.002
10.001;15.006;0.01
9.996;15.01;0.009
9.997;15.005;0.015
10.003;15.008;0.011
10.001;15.007;0.017
9.996;15.009;0.018
9.994;15.008;0.006
10.002;15.008;0.011
9.999;15.006;0.01
9.994;15.007;0.011
9.997;15.007;0.006
10.004;15.004;0.012
9.995;15.006;0.008
9.997;15.008;0.008
9.994;15.007;0.004
10.005;15.011;0.005
9.998;15.006;0.007
9.995;15.008;0.005
9.998;15.007;0.008
9.999;15.011;0.012
9.996;15.007;0.012
9.999;15.006;0.003
