Dans la simulation PALEO;" quel est l'objectif de l'équipe projet ""Productivité"" ?";Améliorer la productivit�en mettant l'accent sur la réduction des temps sans valeur ajoutée.;;
"Quel est l'objectif de l'équipe projet ""Flux"" dans la simulation PALEO ?";Analyser et améliorer la circulation des produits pour réduire les délais et les stocks.;;;
"Quel est l'objectif de l'équipe projet ""Qualit�- Motivation"" ?";Améliorer la qualit�des produits et la motivation des salariés.;;;
"Quelle est la mission de l'équipe projet ""Réimplantation"" ?";Modifier l'emplacement des ateliers pour optimiser les flux et réduire les déplacements.;;;
Selon la méthodologie DMAIC mentionnée;" que signifie l'étape ""Define"" (Définir) ?";Définir le projet et ses objectifs.;;
"Que signifie l'étape ""Measure"" (Mesurer) dans la méthodologie DMAIC ?";Évaluer de façon précise la situation actuelle.;;;
"Que fait-on durant l'étape ""Analyse"" de la méthode DMAIC ?";Comprendre l'origine des difficultés.;;;
"Que signifie l'étape ""Improve"" (Améliorer) dans la méthodologie DMAIC ?";Mettre en œuvre un plan d’action.;;;
"Quelle est la finalit�de l'étape ""Control"" (Contrôler) dans la méthode DMAIC ?";Contrôler les résultats et assurer leur pérennité.;;;
Dans l'analyse des gaspillages;" à quoi correspond la catégorie ""Surproduction"" ?";Produire plus que ce qui est nécessaire ou avant que cela ne soit nécessaire.;;
"Comment est défini le gaspillage de type ""Attente"" ?";Le temps perdu lorsqu'un opérateur, une machine ou un produit attend l'étape suivante.;;;
"Qu'est-ce que le gaspillage li�aux ""Transports et déplacements"" ?";Tout mouvement de produit ou de personne qui n'ajoute pas de valeur au produit.;;;
"Comment définit-on le gaspillage ""Opérations superflues"" (ou sur-processus) ?";Effectuer des opérations inutiles ou plus complexes que ce que le client demande.;;;
"Que représentent les gaspillages de ""Rebuts et reprises"" ?";Le temps et les matériaux perdus à cause de la production de pièces non conformes.;;;
Quelle est la seule catégorie d'activit�qui apporte de la satisfaction au client final ?;La valeur ajoutée (VA).;;;
Dans l'analyse des gaspillages;" à quelle catégorie appartient l'action ""Attendre au magasin d’outillages avant d’être servi"" ?";Attente.;;
"L'action ""Retoucher un coloriage non conforme"" correspond à quel type de gaspillage ?";Rebuts, reprises.;;;
"À quel type de gaspillage correspond l'action ""Installer une nouvelle zone pour ranger l'excédent de production"" ?";Surproduction.;;;
Dans le cadre de la simulation 1; que doit faire un opérateur avec un surligneur qui n'est pas utilis�?;Il doit être rapport�personnellement au magasin d’outillage.;;
Selon les règles de la simulation 1; comment les plaques doivent-elles être transportées ?;Lentement, pas à pas, pour respecter les consignes de sécurité.;;
Où les pièces doivent-elles être déposées entre les postes ?;Uniquement dans les Zones de stockage prévues à cet effet.;;;
Comment se calcule le Taux de Rendement Global (TRG) d'un poste ?;TRG = Temps utile / Temps d’ouverture.;;;
"Comment est calcul�le ""Temps utile"" pour le TRG ?";Il est calcul�en multipliant le nombre de pièces bonnes produites par le temps gamme unitaire.;;;
"Qu'est-ce que le ""Temps d'ouverture"" dans le calcul du TRG ?";C'est la durée totale pendant laquelle l'atelier est ouvert et cens�produire.;;;
Le _____ est le rythme auquel un produit doit être fabriqu�pour répondre à la demande du client.;Takt time.;;;
Comment se calcule le Takt time ?;Secondes travaillées par an divisées par le nombre d'opérations à réaliser par an.;;;
Qu'est-ce que le Temps de Cycle (T.C.) ?;Le temps observ�entre la sortie de deux pièces consécutives d'un poste de travail.;;;
"Comment calcule-t-on le ""délai de passage"" d'un OF traceur ?";En faisant la différence entre l'heure de fin et l'heure de début de l'OF (Heure de fin – Heure de début).;;;
Quelle est la formule de la productivit�utilisée dans la simulation ?;Productivit�= (Effectif de l’usine x Temps d’ouverture) / Quantit�produite bonne de l’usine.;;;
Dans le graphique de suivi de l'OF traceur; que représente la couleur verte ?;La partie supérieure colorée en vert représente les temps opératoires (valeur ajoutée).;;
Dans le graphique de suivi de l'OF traceur; que représente la couleur rouge ?;La partie inférieure colorée en rouge représente les temps d’attente.;;
Sur le graphique d'équilibre du flux; quelle couleur est utilisée pour le temps de cycle ?;Le bleu.;;
Sur le graphique d'équilibre du flux; quelle couleur représente le takt time ?;Le rouge.;;
Quel outil est utilis�par l'équipe Qualit�pour analyser les causes des non-conformités selon 5 axes ?;Le diagramme d'Ishikawa, avec les axes : Méthode, Main d’œuvre, Matière, Moyens, Milieu.;;;
Qu'est-ce qu'un diagramme de Pareto des non-conformités permet de faire ?;Identifier et hiérarchiser les causes les plus fréquentes de défauts pour concentrer les efforts d'amélioration.;;;
Dans la simulation;" quelle est la mission du service ""Lancement - Découpe"" ?";Préparer les ordres de fabrication (OF), donner le départ de la production et suivre l'OF traceur.;;
"Quelle est la mission du service ""Contrôle Qualité"" ?";Contrôler les produits selon des critères définis et gérer les produits non conformes.;;;
Un produit est considér�comme conforme si la couleur ne dépasse pas le trait; si chaque figure est entièrement colorée et si les _____ utilisées sont celles indiquées sur la fiche.;couleurs;;
Comment se nomme le ratio : Total des temps opératoires / Délai de production ?;Le Ratio de Fluidité.;;;
Dans la simulation; que faut-il faire pour connaître le stock maximum utilis�?;"Compter le nombre de cartes ""Zone de stockage"" qui ont ét�retournées en fin de production.";;
Selon le quiz de validation; quel est le délai de passage d'un OF qui commence à 12'10 et se termine à 19'50 ?;7 minutes et 40 secondes (19'50 - 12'10).;;
Selon le quiz; si le temps d'ouverture est d'1h; que 24 pièces bonnes sont fabriquées avec un temps unitaire de 30s; quelle est la valeur du TRG ?;20% (Temps utile = 24 * 30s = 12 min. TRG = 12 min / 60 min).
Dans la décomposition du TRG; à quoi correspond le bloc représentant la différence entre le Temps d'Ouverture et le Temps brut de Fonctionnement ?;Les arrêts identifiés (ex: pannes, changements de série).;;
Plus les encours sont importants; plus le _____ est important.;délai de passage;;
Réduire les gaspillages peut permettre de réduire les encours; améliorer les TRG; réduire les coûts de production et améliorer les _____.;délais de passage;
Vrai ou Faux : Un Ratio de Fluidit�de 20% signifie que le TRG moyen des postes de travail est de 20%.;Faux.;;;
Dans un graphique de Takt Time vs. Temps de Cycle;" si le temps de cycle du poste ""Étoile"" est bien supérieur au Takt Time"; que cela indique-t-il ?;"Que le poste ""Étoile"" est un goulot d'étranglement.";
Pour l'équipe Productivité; quelles sont les 3 grandes catégories d'arrêts identifiés qui réduisent le temps d'ouverture en temps brut de fonctionnement ?;Changements de série, transport des produits, et manque de charge.;;
"Quelle est la différence entre le ""Temps brut de fonctionnement"" et le ""Temps net de fonctionnement"" ?";L'écart de performance, qui inclut les micro-arrêts et les ralentissements.;;;
"Quelle est la différence entre le ""Temps net de fonctionnement"" et le ""Temps utile"" ?";Le temps perdu à cause de la non-qualit�(rebuts, retouches).;;;
"L'outil ""Analyse des trajets"" permet de quantifier la distance totale parcourue pour un certain nombre de produits afin d'optimiser l'_____ des postes.";implantation;;;
Comment l'entreprise PALEO se situe-t-elle par rapport à ses concurrents en termes de délais ?;Ses délais sont plus longs (85 jours contre 70 jours pour les concurrents).;;;
Comment PALEO se positionne-t-elle par rapport à la concurrence sur les coûts ?;Ses coûts sont plus élevés (14 K€ contre 12 K€ pour les concurrents).;;;
En termes de stocks; comment l'entreprise PALEO se compare-t-elle à ses concurrents ?;Elle a plus de stocks (20 M€ contre 16 M€).;;
Quel est le niveau de satisfaction client de PALEO compar�à celui de ses concurrents ?;Il est plus faible (30 contre 70 pour les concurrents).;;;
Dans le dossier du participant; que doit faire chaque joueur pour enregistrer les pièces produites ?;"Colorier une case du ""COMPTEUR DE PRODUCTION"" avec le feutre utilis�pour la pièce.";;
"À quoi sert le document ""Enquête de motivation"" ?";À évaluer le ressenti des participants sur 8 aspects du travail et à calculer une note de motivation globale.;;;
Pour l'équipe FLUX; il est demand�de colorer les temps opératoires en _____ et les temps d'attente en _____ sur le suivi de l'OF traceur.;vert, rouge;;
Quelle est la consigne d'impression pour les affiches des équipes Productivit�et Qualit�?;Imprimer 2 feuilles A3 et les scotcher ou les donner bout à bout.;;;
Quelle est la consigne d'impression pour l'affiche de l'équipe Flux ?;Imprimer 3 feuilles A3 en couleurs si possible et les coller/scotcher bout à bout.;;;
